광역시도,시군구명,지수
전남,신안군,0.088
인천,옹진군,0.161
경북,울릉군,0.328
전북,장수군,0.516
경남,하동군,0.522
울산,동구,0.537
전북,무주군,0.54
전남,완도군,0.541
부산,영도구,0.549
경북,군위군,0.552
강원,화천군,0.558
전북,순창군,0.559
경남,합천군,0.561
전남,함평군,0.561
전남,곡성군,0.566
전북,진안군,0.576
충남,청양군,0.751
경북,고령군,0.77
충남,계룡시,0.773
충남,보령시,0.774
충남,금산군,0.776
충남,부여군,0.79
강원,횡성군,0.798
제주,서귀포시,0.801
경북,예천군,0.806
전북,고창군,0.812
전남,장성군,0.822
전남,담양군,0.828
강원,철원군,0.832
충북,옥천군,0.838
경남,거창군,0.847
부산,기장군,1.005
경북,김천시,1.006
대전,중구,1.008
경북,포항시,1.016
부산,동구,1.017
울산,북구,1.022
대구,남구,1.025
전북,군산시,1.029
경북,경주시,1.031
대구,수성구,1.036
충남,논산시,1.041
충남,당진시,1.042
대구,중구,1.044
서울,성북구,1.044
강원,강릉시,1.046
충남,서산시,1.053
광주,남구,1.054
대구,달서구,1.258
대전,대덕구,1.262
전북,전주시,1.262
경기,부천시,1.285
대전,유성구,1.292
대구,달성군,1.297
경북,칠곡군,1.3
인천,서구,1.311
인천,연수구,1.501
경기,평택시,1.523
서울,마포구,1.534
경기,하남시,1.535
경남,의령군,0.441
경북,봉화군,0.451
강원,고성군,0.468
경남,산청군,0.582
경남,고성군,0.586
전북,임실군,0.587
충남,태안군,0.596
강원,정선군,0.606
경남,남해군,0.606
경남,밀양시,0.608
경북,청도군,0.608
강원,평창군,0.628
경북,영덕군,0.631
전남,영광군,0.635
부산,서구,0.636
강원,양구군,0.64
전북,남원시,0.857
전남,무안군,0.861
경북,문경시,0.862
강원,동해시,0.862
전남,광양시,0.868
경기,과천시,0.868
경기,동두천시,0.88
경북,상주시,0.882
경북,영주시,0.886
경남,진주시,0.886
경남,창녕군,0.896
강원,속초시,0.897
충남,예산군,0.905
경북,성주군,0.908
경기,양평군,0.919
부산,동래구,1.063
서울,도봉구,1.068
충북,제천시,1.08
전북,익산시,1.085
경남,김해시,1.089
광주,서구,1.094
제주,제주시,1.104
충북,충주시,1.11
서울,노원구,1.112
강원,춘천시,1.115
서울,은평구,1.12
부산,사상구,1.12
서울,서대문구,1.12
울산,울주군,1.123
서울,강서구,1.128
울산,남구,1.132
인천,부평구,1.132
경기,성남시,1.319
경기,양주시,1.322
경기,파주시,1.325
서울,송파구,1.328
경기,안양시,1.332
경기,안성시,1.34
경기,오산시,1.343
경기,용인시,1.353
부산,강서구,1.536
경기,광주시,1.54
경기,김포시,1.558
인천,중구,1.596
경북,청송군,0.473
경북,영양군,0.473
전남,구례군,0.486
전남,영암군,0.642
전남,보성군,0.644
전남,진도군,0.652
전남,강진군,0.664
충북,단양군,0.668
전남,해남군,0.668
경북,울진군,0.668
전북,부안군,0.669
충북,보은군,0.673
전남,고흥군,0.675
경북,의성군,0.678
충북,영동군,0.684
경기,가평군,0.687
부산,수영구,0.925
대구,서구,0.926
전북,정읍시,0.927
전남,목포시,0.927
충북,음성군,0.929
충남,홍성군,0.93
강원,홍천군,0.932
충남,공주시,0.936
부산,사하구,0.942
전북,김제시,0.943
전남,여수시,0.949
서울,동작구,0.959
경북,영천시,0.96
부산,북구,0.963
부산,부산진구,0.971
서울,중랑구,1.133
서울,동대문구,1.133
인천,동구,1.136
인천,미추홀구,1.139
전남,순천시,1.142
부산,해운대구,1.142
서울,관악구,1.144
충북,청주시,1.15
서울,광진구,1.153
경기,구리시,1.155
전남,화순군,1.159
경기,포천시,1.161
부산,연제구,1.162
대구,동구,1.164
서울,용산구,1.174
광주,북구,1.178
경기,광명시,1.181
경남,사천시,1.36
경기,군포시,1.361
경남,양산시,1.364
부산,중구,1.374
경북,구미시,1.374
충남,천안시,1.375
인천,남동구,1.398
서울,구로구,1.409
경기,시흥시,1.64
서울,서초구,1.687
서울,강남구,1.765
충남,아산시,1.777
경기,연천군,0.696
강원,삼척시,0.697
경남,함양군,0.703
전남,장흥군,0.708
경남,통영시,0.716
강원,영월군,0.716
강원,태백시,0.719
강원,인제군,0.724
강원,양양군,0.741
충남,서천군,0.745
인천,강화군,0.749
대전,동구,0.975
전북,완주군,0.976
울산,중구,0.977
충북,증평군,0.98
전남,나주시,0.984
경남,거제시,0.986
경기,여주시,0.988
경북,안동시,0.989
부산,남구,0.99
서울,강북구,0.992
충북,괴산군,0.995
부산,금정구,0.998
서울,강동구,1.184
강원,원주시,1.187
경남,함안군,1.188
서울,양천구,1.189
경기,수원시,1.19
서울,종로구,1.208
경북,경산시,1.209
서울,성동구,1.222
광주,동구,1.232
대전,서구,1.233
충북,진천군,1.235
인천,계양구,1.235
대구,북구,1.238
경기,의정부시,1.239
광주,광산구,1.239
경기,의왕시,1.414
경기,고양시,1.436
경기,남양주시,1.445
경기,안산시,1.454
경남,창원시,1.484
서울,중구,1.487
서울,영등포구,1.488
서울,금천구,1.808
경기,이천시,2.082
경기,화성시,2.371
