광역시도,시군구명,도시지역 인구 (명),1인당 주거지역 (㎡),1인당 상업지역 (㎡),1인당 공업지역 (㎡)
서울특별시,종로구,141379.0,69.54,20.78,0.0
서울특별시,중구,120437.0,49.87,32.71,0.0
서울특별시,용산구,218650.0,52.19,7.18,0.0
서울특별시,성동구,281000.0,35.4,1.68,7.3
서울특별시,광진구,337416.0,34.36,0.61,0.0
서울특별시,동대문구,336644.0,38.73,2.46,0.0
서울특별시,중랑구,385318.0,28.09,0.93,0.0
서울특별시,성북구,430397.0,41.33,0.93,0.0
서울특별시,강북구,293660.0,37.11,0.93,0.0
서울특별시,도봉구,311694.0,27.96,0.86,4.73
서울특별시,노원구,503734.0,27.63,1.19,0.0
서울특별시,은평구,466746.0,32.94,1.09,0.0
서울특별시,서대문구,306337.0,50.4,0.93,0.0
서울특별시,마포구,364638.0,36.7,2.58,0.0
서울특별시,양천구,440881.0,28.44,1.81,0.21
서울특별시,강서구,569166.0,25.86,2.33,5.13
서울특별시,구로구,395315.0,25.98,1.3,10.61
서울특별시,금천구,229642.0,25.45,0.65,17.95
서울특별시,영등포구,375675.0,21.32,6.95,13.38
서울특별시,동작구,380596.0,36.22,0.93,0.0
서울특별시,관악구,486752.0,31.48,0.81,0.0
서울특별시,서초구,404325.0,47.01,3.29,0.0
서울특별시,강남구,529102.0,45.72,3.17,0.0
서울특별시,송파구,658801.0,32.52,3.59,0.0
서울특별시,강동구,460067.0,28.15,1.51,0.17
부산광역시,중구,39689.0,22.57,47.45,4.81
부산광역시,서구,105192.0,41.57,10.58,8.48
부산광역시,동구,86462.0,29.17,28.86,19.91
부산광역시,영도구,108156.0,44.5,7.38,16.75
부산광역시,부산진구,355917.0,31.1,13.6,0.0
부산광역시,동래구,273226.0,35.01,4.24,0.56
부산광역시,남구,256333.0,38.47,4.06,18.34
부산광역시,북구,278857.0,34.45,2.18,0.0
부산광역시,해운대구,386785.0,32.18,8.7,3.48
부산광역시,사하구,301987.0,34.62,2.15,31.89
부산광역시,금정구,221256.0,44.59,3.22,4.8
부산광역시,강서구,143207.0,139.35,29.22,198.33
부산광역시,연제구,203536.0,37.72,3.78,0.31
부산광역시,수영구,174806.0,37.76,4.29,0.67
부산광역시,사상구,203789.0,40.3,2.35,32.34
부산광역시,기장군,178614.0,96.68,6.24,48.28
대구광역시,중구,80199.0,42.11,38.92,0.0
대구광역시,동구,334909.0,62.24,11.03,2.92
대구광역시,서구,159827.0,47.7,8.1,25.56
대구광역시,남구,141519.0,57.27,7.39,0.0
대구광역시,북구,430912.0,46.75,8.15,11.7
대구광역시,수성구,411553.0,45.62,4.84,0.0
대구광역시,달서구,536989.0,38.9,4.55,21.23
대구광역시,달성군,263148.0,82.65,5.14,74.99
인천광역시,중구,152931.0,80.68,39.12,86.58
인천광역시,동구,58999.0,40.74,7.73,66.16
인천광역시,미추홀구,406004.0,35.96,7.92,6.41
인천광역시,연수구,385796.0,59.47,12.67,20.03
인천광역시,남동구,506181.0,31.92,3.97,20.36
인천광역시,부평구,489118.0,28.82,4.09,7.61
인천광역시,계양구,288856.0,40.85,2.9,4.88
인천광역시,서구,589013.0,46.66,8.27,31.83
인천광역시,강화군,22868.0,85.24,8.8,23.53
인천광역시,옹진군,0.0,0.0,0.0,0.0
광주광역시,동구,105909.0,83.24,17.41,0.14
광주광역시,서구,287401.0,54.28,6.87,8.44
광주광역시,남구,212379.0,65.94,2.11,9.09
광주광역시,북구,424707.0,54.93,6.23,10.58
광주광역시,광산구,400654.0,65.58,5.38,41.78
대전광역시,동구,219751.0,57.13,7.0,2.26
대전광역시,중구,227108.0,54.83,8.22,0.0
대전광역시,서구,470374.0,41.95,4.78,2.0
대전광역시,유성구,356093.0,45.18,7.73,19.18
대전광역시,대덕구,172746.0,57.85,2.8,51.03
울산광역시,중구,208132.0,59.65,7.41,1.24
울산광역시,남구,310638.0,45.77,8.32,94.12
울산광역시,동구,151711.0,40.49,5.25,46.34
울산광역시,북구,218670.0,60.92,4.89,50.15
울산광역시,울주군,219517.0,105.11,7.48,176.36
강원도,춘천시,261724.0,81.39,6.43,12.41
강원도,원주시,328007.0,79.45,7.61,19.39
강원도,강릉시,188520.0,91.26,9.61,29.86
강원도,동해시,89092.0,148.32,25.13,100.46
강원도,태백시,37457.0,220.93,33.97,42.89
강원도,속초시,82806.0,76.0,28.09,12.49
강원도,삼척시,50633.0,197.3,19.69,153.17
강원도,홍천군,34379.0,125.58,11.23,33.21
강원도,횡성군,19041.0,134.65,19.9,61.64
강원도,영월군,24500.0,143.62,22.59,43.91
강원도,평창군,16387.0,292.62,29.97,0.0
강원도,정선군,23054.0,217.88,48.6,26.52
강원도,철원군,38000.0,163.39,19.47,10.59
강원도,화천군,12886.0,176.32,21.88,2.08
강원도,양구군,11771.0,123.59,13.92,5.32
강원도,인제군,29037.0,117.52,19.18,7.53
강원도,고성군,14786.0,207.71,26.65,14.15
강원도,양양군,12239.0,211.61,50.88,1.77
